TWEET_ONE_ID,TWEET_TWO_ID
10,5602
15,12403
15,30773
22,14968
22,20944
24,22845
24,23921
24,35781
36,3180
36,13655
36,16248
36,18260
36,20247
36,32811
36,32984
38,11171
38,39506
44,31784
50,19649
50,20375
50,25149
70,11673
70,12372
70,15341
70,16278
70,20329
70,24928
70,32501
70,33281
73,24860
76,7418
76,12918
76,12960
76,20923
76,22974
76,27923
76,27992
76,32424
84,25297
94,24373
98,37959
106,5507
106,8322
106,13655
106,18425
106,20305
106,24477
106,36743
118,892
118,1195
118,1336
118,2621
118,3422
118,5593
118,5604
118,12415
118,14415
118,14528
118,16995
118,17395
118,19249
118,19833
118,35519
118,38764
118,39192
137,1178
137,13021
140,1761
144,25265
144,34678
144,38698
145,6939
145,15713
145,21415
145,23759
145,27533
145,34282
146,205
146,207
146,832
146,1288
146,4475
146,4799
146,5507
146,5816
146,5848
146,5954
146,6503
146,6534
146,7174
146,7561
146,8234
146,8322
146,11673
146,11679
146,12303
146,12595
146,12608
146,13651
146,13655
146,13769
146,14007
146,14014
146,15440
146,15461
146,16278
146,17748
146,18468
146,18474
146,19630
146,19713
146,19748
146,20247
146,20305
146,20358
146,20375
146,20534
146,20660
146,21921
146,22182
146,22659
146,22900
146,22928
146,23850
146,23900
146,23948
146,24489
146,24507
146,24534
146,24566
146,24875
146,24909
146,25240
146,25297
146,25959
146,28119
146,28139
146,28174
146,28346
146,29773
146,29953
146,30083
146,30424
146,30843
146,31133
146,31508
146,32393
146,32464
146,32475
146,32477
146,32490
146,32501
146,32504
146,32531
146,32814
146,32984
146,34799
146,36743
146,36746
146,36777
146,36870
146,37218
146,37278
146,38966
146,39004
146,39119
146,39691
146,39720
157,30465
164,422
164,480
164,3051
164,4799
164,5796
164,5816
164,5848
164,6425
164,11679
164,11913
164,13655
164,13710
164,13749
164,18468
164,19723
164,19819
164,20247
164,20834
164,22863
164,24409
164,24489
164,24909
164,25880
164,25952
164,28150
164,32464
164,32490
164,32501
164,32536
164,34499
164,34759
164,39691
164,39709
164,39720
170,2264
183,675
183,12986
183,18043
183,24087
183,30307
183,39156
189,7412
189,32984
189,39699
195,4558
195,32543
200,8988
202,3031
202,9065
205,146
205,207
205,247
205,335
205,963
205,1288
205,1329
205,1416
205,3097
205,3364
205,4475
205,4799
205,4823
205,5453
205,5507
205,5816
205,5842
205,5954
205,6503
205,7174
205,7654
205,8314
205,8322
205,11679
205,12599
205,12670
205,13651
205,13655
205,14014
205,14595
205,15394
205,15423
205,15461
205,15573
205,17258
205,17748
205,18474
205,19165
205,19713
205,20194
205,20305
205,20358
205,20375
205,20534
205,20660
205,20881
205,21578
205,22182
205,22309
205,22312
205,22845
205,22928
205,23128
205,23850
205,23900
205,23921
205,23948
205,23949
205,24489
205,24507
205,24909
205,25297
205,25959
205,26058
205,26412
205,27184
205,27969
205,28174
205,28325
205,29953
205,30117
205,30424
205,31429
205,31508
205,32393
205,32464
205,32475
205,32477
205,32501
205,32531
205,32536
205,32543
205,32814
205,32984
205,33965
205,34367
205,34799
205,35781
205,36743
205,36777
205,36870
205,37278
205,38966
205,39691
205,39709
205,39720
207,146
207,205
207,280
207,335
207,492
207,963
207,1288
207,3097
207,3351
207,3364
207,4475
207,4799
207,4823
207,5507
207,5816
207,5842
207,5848
207,6503
207,6534
207,7174
207,7561
207,7654
207,7847
207,8234
207,8322
207,9034
207,11226
207,11679
207,12599
207,12660
207,12663
207,12711
207,13651
207,13655
207,13769
207,14014
207,14041
207,14595
207,15423
207,15440
207,15461
207,16278
207,17258
207,17748
207,18468
207,18474
207,19518
207,19581
207,19665
207,19713
207,19748
207,20194
207,20247
207,20305
207,20343
207,20344
207,20351
207,20356
207,20358
207,20367
207,20375
207,20524
207,20534
207,20660
207,20798
207,20881
207,21578
207,21921
207,22309
207,22646
207,22650
207,22659
207,22674
207,22709
207,22845
207,22900
207,22928
207,22951
207,23656
207,23850
207,23900
207,23948
207,23949
207,24377
207,24489
207,24507
207,24534
207,24566
207,24909
207,25240
207,25723
207,25959
207,26124
207,26412
207,27184
207,27645
207,27718
207,27969
207,28174
207,28315
207,29953
207,30022
207,30083
207,30114
207,30117
207,30424
207,30843
207,31133
207,31429
207,31508
207,31658
207,32075
207,32149
207,32393
207,32405
207,32464
207,32475
207,32477
207,32501
207,32531
207,32536
207,32543
207,32814
207,32897
207,32984
207,33122
207,33965
207,34367
207,34539
207,34799
207,36743
207,36746
207,36777
207,36870
207,36879
207,37218
207,37278
207,37426
207,38966
207,39691
222,385
222,492
222,537
222,1111
222,1447
222,3351
222,3364
222,4158
222,4181
222,4475
222,4508
222,4772
222,4814
222,4823
222,4959
222,5961
222,7624
222,7800
222,7847
222,8234
222,8322
222,9034
222,9052
222,11226
222,12599
222,12633
222,12653
222,12659
222,12660
222,12661
222,12663
222,12711
222,13651
222,14523
222,14595
222,14636
222,14737
222,14745
222,14752
222,14833
222,14895
222,15461
222,17258
222,17275
222,17292
222,17644
222,18286
222,19665
222,19684
222,19713
222,20202
222,20341
222,20343
222,20344
222,20356
222,20358
222,20359
222,20360
222,20367
222,20524
222,20660
222,22646
222,22809
222,22826
222,22854
222,22867
222,22901
222,22903
222,22918
222,22928
222,22956
222,22957
222,22968
222,23900
222,24275
222,25125
222,25241
222,25457
222,25723
222,25959
222,26474
222,27606
222,27645
222,27718
222,28174
